Inst. peticion: 30.246934506612515 | T. servicio: 0.3695119593287073
Inst. peticion: 21.98218870579774 | T. servicio: 0.20970931780422364
Inst. peticion: 21.576745657684704 | T. servicio: 0.2663591331249425
Inst. peticion: 21.211016503628734 | T. servicio: 0.055562076670768255
Inst. peticion: 20.934896260430122 | T. servicio: 0.38590144484888395
Inst. peticion: 20.53164032131574 | T. servicio: 0.4243565834475454
Inst. peticion: 20.399415127922914 | T. servicio: 0.15126691637185835
Inst. peticion: 19.96338319540425 | T. servicio: 0.4499031988645475
Inst. peticion: 19.50520811725769 | T. servicio: 0.450433106611962
Inst. peticion: 19.174941739542877 | T. servicio: 0.25527754153780347
Inst. peticion: 18.735522704808986 | T. servicio: 0.2447717521675491
Inst. peticion: 18.67213186666938 | T. servicio: 0.3422315412536795
Inst. peticion: 18.24683879659751 | T. servicio: 0.18146553134933152
Inst. peticion: 17.821359435923362 | T. servicio: 0.06314010118866391
Inst. peticion: 17.398267167648438 | T. servicio: 0.3208674702099446
Inst. peticion: 17.086099341450367 | T. servicio: 0.16158861052568158
Inst. peticion: 16.649074703962626 | T. servicio: 0.2270781238735297
Inst. peticion: 16.44683026174918 | T. servicio: 0.21302912089788406
Inst. peticion: 16.025879242655467 | T. servicio: 0.30557205936960186
Inst. peticion: 15.56922184954814 | T. servicio: 0.3078246889739251
Inst. peticion: 15.14149243351286 | T. servicio: 0.17028176165348505
Inst. peticion: 14.87958716406372 | T. servicio: 0.4314113507576986
Inst. peticion: 14.550117955581918 | T. servicio: 0.3283078386684219
Inst. peticion: 14.184738604027583 | T. servicio: 0.14631375979935063
Inst. peticion: 13.729381140373693 | T. servicio: 0.1278974862566864
Inst. peticion: 13.283385478851093 | T. servicio: 0.22426052789394535
Inst. peticion: 12.803395466544579 | T. servicio: 0.27297028397021117
Inst. peticion: 12.654622610790245 | T. servicio: 0.12920247238926294
Inst. peticion: 12.566138001271959 | T. servicio: 0.11134826333523035
Inst. peticion: 12.220622684156993 | T. servicio: 0.12807164527186238
Inst. peticion: 11.895130424249075 | T. servicio: 0.4770925682530033
Inst. peticion: 11.79855974001513 | T. servicio: 0.06653292499996483
Inst. peticion: 11.333850987377284 | T. servicio: 0.21030775059226825
Inst. peticion: 10.952543324975231 | T. servicio: 0.27751906058204723
Inst. peticion: 10.756660880795069 | T. servicio: 0.23805106279196864
Inst. peticion: 10.611201780479147 | T. servicio: 0.4004313027283456
Inst. peticion: 10.516270196781605 | T. servicio: 0.17802725695532695
Inst. peticion: 10.073384978068805 | T. servicio: 0.4862831519635686
Inst. peticion: 9.784423252068928 | T. servicio: 0.3595902938419159
Inst. peticion: 9.567341585400536 | T. servicio: 0.48901980307238
Inst. peticion: 9.37721003910565 | T. servicio: 0.11442135575151807
Inst. peticion: 8.94665739058716 | T. servicio: 0.3504597035212322
Inst. peticion: 8.619807107398726 | T. servicio: 0.48624779016545283
Inst. peticion: 8.392270406723831 | T. servicio: 0.3265048089185366
Inst. peticion: 8.130362408569342 | T. servicio: 0.37602210319238577
Inst. peticion: 7.841750858075283 | T. servicio: 0.41062029843423464
Inst. peticion: 7.78400925471738 | T. servicio: 0.3520980161750178
Inst. peticion: 7.425109567063139 | T. servicio: 0.23568191720281112
Inst. peticion: 7.040982216695732 | T. servicio: 0.10363260494044207
Inst. peticion: 6.573137429114833 | T. servicio: 0.054013166155497325
Inst. peticion: 6.271758967515503 | T. servicio: 0.3827685914525107
Inst. peticion: 6.044222395448196 | T. servicio: 0.3347296428595704
Inst. peticion: 5.791116443886911 | T. servicio: 0.180032129605395
Inst. peticion: 5.449750437454289 | T. servicio: 0.12103494283255496
Inst. peticion: 5.1866171302495365 | T. servicio: 0.281739375736405
Inst. peticion: 5.04366108811223 | T. servicio: 0.2776424091272343
Inst. peticion: 4.666095040452721 | T. servicio: 0.34564432142225776
Inst. peticion: 4.3210251327771525 | T. servicio: 0.23679545396310325
Inst. peticion: 4.078826747986559 | T. servicio: 0.1653405199498041
Inst. peticion: 3.8937504520683373 | T. servicio: 0.4876729810094037
Inst. peticion: 3.4888386365122144 | T. servicio: 0.1454290510669574
Inst. peticion: 3.0970289917012446 | T. servicio: 0.3822948128787499
Inst. peticion: 2.986834562510322 | T. servicio: 0.3514776186155543
Inst. peticion: 2.5465752024699606 | T. servicio: 0.21371383020820722
Inst. peticion: 2.0654437353074675 | T. servicio: 0.05744131133938341
Inst. peticion: 1.6681342025367898 | T. servicio: 0.27879171162342936
Inst. peticion: 1.2094199849692344 | T. servicio: 0.3265772202405741
Inst. peticion: 0.899271669529728 | T. servicio: 0.22973966006427782
Inst. peticion: 0.8335663749923077 | T. servicio: 0.3561157034459653
Inst. peticion: 0.3702024065180409 | T. servicio: 0.49469403888666685
Inst. peticion: 0.2831868119541067 | T. servicio: 0.42127860499108855
